STATION,DATE,FT NAVD88,M NAVD88,FLOODCLASS,STORMNAME,TYPE,STATIONLAT,STATIONLONG,REGION,YEAR,DOWNSTREAM KM
RICHWEST,6/2/40,13.5,4.43,FLOOD,NT29,NT,37.563056,-77.547222,PIEDMONT,1940,354.6
HOLCOMBROCK,8/16/40,24.25,7.39,MODERATE,NOT_NAMED200,AT,37.501111,-79.262778,PIEDMONT,1940,112.3
BENTCREEK,8/16/40,19.63,5.98,MODERATE,NOT_NAMED200,AT,37.536111,-78.829722,PIEDMONT,1940,177.8
SCOTTSVILLE,8/16/40,25.84,7.88,MAJOR,NOT_NAMED200,AT,37.797222,-78.491667,PIEDMONT,1940,240.3
CARTERSVILLE,8/17/40,28.34,8.92,MAJOR,NOT_NAMED200,AT,37.670833,-78.086111,PIEDMONT,1940,291
RICHWEST,8/18/40,21.8,6.96,MODERATE,NOT_NAMED200,AT,37.563056,-77.547222,PIEDMONT,1940,354.6
RICHLOCKS,8/18/40,23.3,7.1,MODERATE,NOT_NAMED200,AT,37.525,-77.421111,PIEDMONT,1940,367.3
RICHWEST,4/6/41,11.93,3.95,ACTION,NT30,NT,37.563056,-77.547222,PIEDMONT,1941,354.6
SCOTTSVILLE,7/9/41,12.07,3.68,ACTION,NT31,NT,37.797222,-78.491667,PIEDMONT,1941,240.3
LICKRUN,5/17/42,21.1,6.43,FLOOD,NT32,NT,37.773611,-79.784444,MOUNTAIN,1942,0
BUCHANAN,5/17/42,19.56,5.96,FLOOD,NT32,NT,37.530556,-79.679167,MOUNTAIN,1942,57.7
HOLCOMBROCK,5/22/42,24.62,7.5,MODERATE,NT33,NT,37.501111,-79.262778,PIEDMONT,1942,112.3
BENTCREEK,5/23/42,18.34,5.59,MODERATE,NT33,NT,37.536111,-78.829722,PIEDMONT,1942,177.8
SCOTTSVILLE,5/23/42,21.44,6.53,FLOOD,NT33,NT,37.797222,-78.491667,PIEDMONT,1942,240.3
CARTERSVILLE,5/24/42,20.8,6.62,FLOOD,NT33,NT,37.670833,-78.086111,PIEDMONT,1942,291
RICHWEST,5/24/42,15.74,5.11,MODERATE,NT33,NT,37.563056,-77.547222,PIEDMONT,1942,354.6
SCOTTSVILLE,10/16/42,23,7.01,MODERATE,NT34,NT,37.797222,-78.491667,PIEDMONT,1942,240.3
CARTERSVILLE,10/16/42,27.14,8.55,MAJOR,NT34,NT,37.670833,-78.086111,PIEDMONT,1942,291
RICHWEST,10/17/42,19.8,6.35,MODERATE,NT34,NT,37.563056,-77.547222,PIEDMONT,1942,354.6
RICHLOCKS,10/17/42,19.5,5.94,MODERATE,NT34,NT,37.525,-77.421111,PIEDMONT,1942,367.3
HOLCOMBROCK,12/31/42,18.48,5.63,ACTION,NT35,NT,37.501111,-79.262778,PIEDMONT,1942,112.3
LICKRUN,3/14/43,17.6,5.36,FLOOD,NT36,NT,37.773611,-79.784444,MOUNTAIN,1943,0
BUCHANAN,3/14/43,15.19,4.63,ACTION,NT36,NT,37.530556,-79.679167,MOUNTAIN,1943,57.7
BENTCREEK,9/19/44,18,5.49,MODERATE,NT37,NT,37.536111,-78.829722,PIEDMONT,1944,177.8
SCOTTSVILLE,9/19/44,26,7.92,MAJOR,NT37,NT,37.797222,-78.491667,PIEDMONT,1944,240.3
CARTERSVILLE,9/20/44,29.6,9.3,MAJOR,NT37,NT,37.670833,-78.086111,PIEDMONT,1944,291
RICHWEST,9/20/44,21.8,6.96,MODERATE,NT37,NT,37.563056,-77.547222,PIEDMONT,1944,354.6
RICHLOCKS,9/21/44,22.4,6.83,MODERATE,NT37,NT,37.525,-77.421111,PIEDMONT,1944,367.3
SCOTTSVILLE,9/18/45,18,5.49,ACTION,NOT_NAMED213,AH,37.797222,-78.491667,PIEDMONT,1945,240.3
CARTERSVILLE,9/19/45,19.5,6.23,ACTION,NOT_NAMED213,AH,37.670833,-78.086111,PIEDMONT,1945,291
RICHWEST,9/20/45,14.82,4.83,FLOOD,NOT_NAMED213,AH,37.563056,-77.547222,PIEDMONT,1945,354.6
LICKRUN,1/8/46,16,4.88,FLOOD,NT38,NT,37.773611,-79.784444,MOUNTAIN,1946,0
SCOTTSVILLE,1/9/46,15.3,4.66,ACTION,NT38,NT,37.797222,-78.491667,PIEDMONT,1946,240.3
RICHWEST,1/9/46,12.2,4.03,FLOOD,NT38,NT,37.563056,-77.547222,PIEDMONT,1946,354.6
SCOTTSVILLE,3/16/47,13.68,4.17,ACTION,NT39,NT,37.797222,-78.491667,PIEDMONT,1947,240.3
RICHWEST,3/17/47,11.65,3.86,ACTION,NT39,NT,37.563056,-77.547222,PIEDMONT,1947,354.6
LICKRUN,2/15/48,16.1,4.91,FLOOD,NT40,NT,37.773611,-79.784444,MOUNTAIN,1948,0
BUCHANAN,2/15/48,16.25,4.95,ACTION,NT40,NT,37.530556,-79.679167,MOUNTAIN,1948,57.7
HOLCOMBROCK,2/15/48,19.9,6.07,ACTION,NT40,NT,37.501111,-79.262778,PIEDMONT,1948,112.3
RICHWEST,2/16/48,15.45,5.02,MODERATE,NT40,NT,37.563056,-77.547222,PIEDMONT,1948,354.6
SCOTTSVILLE,4/1/48,18.4,5.61,ACTION,NT41,NT,37.797222,-78.491667,PIEDMONT,1948,240.3
CARTERSVILLE,4/2/48,22.14,7.03,FLOOD,NT41,NT,37.670833,-78.086111,PIEDMONT,1948,291
RICHWEST,4/2/48,16.45,5.33,MODERATE,NT41,NT,37.563056,-77.547222,PIEDMONT,1948,354.6
CARTERSVILLE,8/5/48,20.35,6.48,FLOOD,NT42,NT,37.670833,-78.086111,PIEDMONT,1948,291
RICHWEST,8/6/48,15.5,5.04,MODERATE,NT42,NT,37.563056,-77.547222,PIEDMONT,1948,354.6
BENTCREEK,12/4/48,18.68,5.69,MODERATE,NT43,NT,37.536111,-78.829722,PIEDMONT,1948,177.8
SCOTTSVILLE,12/4/48,22.9,6.98,MODERATE,NT43,NT,37.797222,-78.491667,PIEDMONT,1948,240.3
CARTERSVILLE,12/5/48,27,8.51,MAJOR,NT43,NT,37.670833,-78.086111,PIEDMONT,1948,291
RICHWEST,12/5/48,20.9,6.68,MODERATE,NT43,NT,37.563056,-77.547222,PIEDMONT,1948,354.6
RICHLOCKS,12/6/48,21.6,6.58,MODERATE,NT43,NT,37.525,-77.421111,PIEDMONT,1948,367.3
CARTERSVILLE,3/24/49,21.98,6.98,FLOOD,NT44,NT,37.670833,-78.086111,PIEDMONT,1949,291
RICHWEST,3/24/49,16.22,5.26,MODERATE,NT44,NT,37.563056,-77.547222,PIEDMONT,1949,354.6
RICHLOCKS,3/24/49,13.3,4.05,FLOOD,NT44,NT,37.525,-77.421111,PIEDMONT,1949,367.3
LICKRUN,4/14/49,20.45,6.23,FLOOD,NT45,NT,37.773611,-79.784444,MOUNTAIN,1949,0
BUCHANAN,4/14/49,20.18,6.15,FLOOD,NT45,NT,37.530556,-79.679167,MOUNTAIN,1949,57.7
HOLCOMBROCK,4/14/49,22.9,6.98,FLOOD,NT45,NT,37.501111,-79.262778,PIEDMONT,1949,112.3
RICHWEST,4/16/49,14.67,4.78,FLOOD,NT45,NT,37.563056,-77.547222,PIEDMONT,1949,354.6
RICHWEST,8/16/49,13.38,4.39,FLOOD,NT46,NT,37.563056,-77.547222,PIEDMONT,1949,354.6
HOLCOMBROCK,9/10/50,24,7.32,MODERATE,NT47,NT,37.501111,-79.262778,PIEDMONT,1950,112.3
BENTCREEK,9/10/50,17.8,5.43,FLOOD,NT47,NT,37.536111,-78.829722,PIEDMONT,1950,177.8
SCOTTSVILLE,9/11/50,20.43,6.23,FLOOD,NT47,NT,37.797222,-78.491667,PIEDMONT,1950,240.3
CARTERSVILLE,9/11/50,19.73,6.3,ACTION,NT47,NT,37.670833,-78.086111,PIEDMONT,1950,291
RICHWEST,9/12/50,14.6,4.76,FLOOD,NT47,NT,37.563056,-77.547222,PIEDMONT,1950,354.6
RICHWEST,12/6/50,13.76,4.51,FLOOD,NT48,NT,37.563056,-77.547222,PIEDMONT,1950,354.6
LICKRUN,12/8/50,20.45,6.23,FLOOD,NT48,NT,37.773611,-79.784444,MOUNTAIN,1950,0
BUCHANAN,12/8/50,18.95,5.78,FLOOD,NT48,NT,37.530556,-79.679167,MOUNTAIN,1950,57.7
